task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	32/bbe3a0	59893263	NFCORE_SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (wgs_calling_regions_noseconds.hg38.bed)	COMPLETED	0	2025-08-29 03:41:11.033	15.1s	1s	27.9%	2.5 MB	68.8 MB	72.4 KB	9.1 KB
6	3c/55caa6	59893264	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_COMBINED (wgs_calling_regions_noseconds.hg38)	COMPLETED	0	2025-08-29 03:41:11.351	14.7s	0ms	30.4%	1.5 MB	4.3 MB	137.3 KB	12.1 KB
20	0e/4c0b73	59893258	NFCORE_SAREK:SAREK:FASTP (Sample2-Lane1)	COMPLETED	0	2025-08-29 03:41:06.789	54.3s	35s	992.3%	1.7 GB	2.7 GB	3 GB	2.8 GB
22	d3/4c1dab	59893257	NFCORE_SAREK:SAREK:FASTP (Sample3-Lane1)	COMPLETED	0	2025-08-29 03:41:06.452	54.6s	36s	1005.9%	1.7 GB	2.7 GB	3.4 GB	3.2 GB
26	32/cb770d	59893266	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr2_238904048-242183529)	COMPLETED	0	2025-08-29 03:41:26.597	54.5s	0ms	58.3%	1.5 MB	4.3 MB	126.4 KB	3.9 KB
31	6f/861ac4	59893267	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr10_39590436-39593013)	COMPLETED	0	2025-08-29 03:41:26.911	54.2s	0ms	56.4%	1.5 MB	4.3 MB	126.5 KB	3.7 KB
28	c8/73331d	59893269	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr12_37235253-37240944)	COMPLETED	0	2025-08-29 03:41:27.497	53.6s	0ms	70.6%	1.5 MB	4.3 MB	126.4 KB	3.7 KB
25	e2/4fb56c	59893270	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr2_16146120-32867130)	COMPLETED	0	2025-08-29 03:42:01.394	19.7s	0ms	50.0%	1.5 MB	4.3 MB	126.4 KB	3.7 KB
32	cf/93ef48	59893268	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr8_44033745-45877265)	COMPLETED	0	2025-08-29 03:41:27.205	53.9s	0ms	52.3%	1.5 MB	4.3 MB	126.2 KB	3.6 KB
18	e1/559fb2	59893259	NFCORE_SAREK:SAREK:FASTP (Sample1-Lane1)	COMPLETED	0	2025-08-29 03:41:07.111	1m 19s	1m 2s	1022.8%	2 GB	2.9 GB	3.6 GB	3.2 GB
29	f3/42ebf4	59893271	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr15_20729747-21193490)	COMPLETED	0	2025-08-29 03:42:01.707	1m 19s	0ms	44.5%	1.5 MB	4.3 MB	126.7 KB	3.8 KB
30	af/9274dc	59893274	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr7_58169654-60828234)	COMPLETED	0	2025-08-29 03:42:21.701	59.4s	0ms	48.2%	1.5 MB	4.3 MB	126.4 KB	3.7 KB
35	81/e7db2d	59893275	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr5_139453660-155760324)	COMPLETED	0	2025-08-29 03:42:22.022	59.1s	0ms	42.6%	1.5 MB	4.3 MB	126.3 KB	3.7 KB
33	35/7d25aa	59893276	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr20_36314720-64334167)	COMPLETED	0	2025-08-29 03:42:22.329	58.8s	0ms	49.6%	1.5 MB	4.3 MB	127.9 KB	4.3 KB
27	52/b3242f	59893273	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr4_10001-1429358)	COMPLETED	0	2025-08-29 03:42:21.389	59.7s	0ms	50.1%	1.5 MB	4.3 MB	126.4 KB	3.7 KB
36	15/c8d713	59893277	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr6_95070791-167591393)	COMPLETED	0	2025-08-29 03:42:22.622	1m 3s	0ms	33.8%	1.5 MB	4.3 MB	126.3 KB	3.6 KB
19	a2/1a661b	59893262	NFCORE_SAREK:SAREK:FASTQC (Sample2-Lane1)	COMPLETED	0	2025-08-29 03:41:10.235	2m 31s	2m 17s	195.8%	1.7 GB	7.1 GB	3 GB	4 MB
21	5a/bfc5f7	59893261	NFCORE_SAREK:SAREK:FASTQC (Sample3-Lane1)	COMPLETED	0	2025-08-29 03:41:09.934	2m 46s	2m 33s	192.9%	1.7 GB	7.1 GB	3.4 GB	4 MB
17	bc/0d7bef	59893260	NFCORE_SAREK:SAREK:FASTQC (Sample1-Lane1)	COMPLETED	0	2025-08-29 03:41:09.601	2m 51s	2m 40s	192.2%	1.7 GB	7.1 GB	3.6 GB	4 MB
43	92/3ebfc0	59893286	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr13_86252980-111703855)	COMPLETED	0	2025-08-29 03:43:41.409	44.7s	0ms	48.2%	1.5 MB	4.3 MB	126.6 KB	3.8 KB
40	e1/a7f074	59893282	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chrX_37285838-49348394)	COMPLETED	0	2025-08-29 03:43:22.001	1m 4s	0ms	40.9%	1.5 MB	4.3 MB	126.5 KB	3.7 KB
38	e0/ed93cd	59893281	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr1_122026460-124977944)	COMPLETED	0	2025-08-29 03:43:21.707	1m 4s	0ms	45.6%	1.5 MB	4.3 MB	126.4 KB	3.7 KB
42	1f/7dd82e	59893285	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr11_51078349-54425074)	COMPLETED	0	2025-08-29 03:43:26.378	59.7s	0ms	49.0%	1.5 MB	4.3 MB	126.4 KB	3.7 KB
44	03/9c3925	59893288	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr9_41229379-41237752)	COMPLETED	0	2025-08-29 03:43:56.379	29.7s	0ms	42.0%	1.5 MB	4.3 MB	127.3 KB	4 KB
39	63/471c3b	59893283	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr18_47019913-54536574)	COMPLETED	0	2025-08-29 03:43:22.317	1m 4s	0ms	47.4%	1.5 MB	4.3 MB	127 KB	4 KB
34	bb/729bca	59893278	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr4_190173122-190204555)	COMPLETED	0	2025-08-29 03:42:26.377	2m	0ms	60.1%	1.5 MB	4.3 MB	126.6 KB	3.9 KB
