task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	ee/f40304	59905788	NFCORE_SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (wgs_calling_regions_noseconds.hg38.bed)	COMPLETED	0	2025-09-03 03:08:30.132	35.2s	0ms	55.7%	1.3 MB	11 MB	72.6 KB	9.1 KB
14	ad/4f73eb	59905787	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_COMBINED (wgs_calling_regions_noseconds.hg38)	COMPLETED	0	2025-09-03 03:08:29.837	35.5s	0ms	33.1%	1.5 MB	4.3 MB	137.5 KB	12.1 KB
18	be/07c0d3	59905786	NFCORE_SAREK:SAREK:FASTP (Sample1-Lane1)	COMPLETED	0	2025-09-03 03:08:25.139	1m 10s	33s	1012.7%	1.7 GB	2.7 GB	3.1 GB	2.8 GB
23	69/7e1978	59905789	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr4_10001-1429358)	COMPLETED	0	2025-09-03 03:09:05.925	54.4s	0ms	43.5%	1.5 MB	4.3 MB	126.7 KB	3.7 KB
28	5d/1bf995	59905790	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr8_44033745-45877265)	COMPLETED	0	2025-09-03 03:09:06.220	54.2s	0ms	43.1%	1.5 MB	4.3 MB	126.5 KB	3.6 KB
25	77/b3cb80	59905792	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr15_20729747-21193490)	COMPLETED	0	2025-09-03 03:09:06.808	53.6s	0ms	43.0%	1.5 MB	4.3 MB	126.9 KB	3.8 KB
26	aa/1379d1	59905791	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr7_58169654-60828234)	COMPLETED	0	2025-09-03 03:09:06.513	53.9s	0ms	42.1%	1.5 MB	4.3 MB	126.7 KB	3.7 KB
22	0f/5f55da	59905793	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr2_238904048-242183529)	COMPLETED	0	2025-09-03 03:09:07.100	53.3s	1s	58.1%	1.5 MB	4.3 MB	126.5 KB	3.9 KB
27	05/ec6604	59905794	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr10_39590436-39593013)	COMPLETED	0	2025-09-03 03:09:07.400	53s	1s	47.9%	1.5 MB	4.3 MB	126.6 KB	3.7 KB
21	1a/f0f2e2	59905795	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr2_16146120-32867130)	COMPLETED	0	2025-09-03 03:09:07.697	52.7s	0ms	48.4%	1.5 MB	4.3 MB	126.6 KB	3.7 KB
24	24/853842	59905796	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr12_37235253-37240944)	COMPLETED	0	2025-09-03 03:09:07.994	52.4s	0ms	44.9%	1.5 MB	4.3 MB	126.5 KB	3.7 KB
30	6e/d6a219	59905797	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr4_190173122-190204555)	COMPLETED	0	2025-09-03 03:09:35.658	1m 25s	0ms	18.7%	1.5 MB	4.3 MB	126.9 KB	3.9 KB
32	78/5eff68	59905799	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr6_95070791-167591393)	COMPLETED	0	2025-09-03 03:10:01.001	59.4s	0ms	18.6%	1.5 MB	4.3 MB	126.5 KB	3.6 KB
29	ed/645700	59905798	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr20_36314720-64334167)	COMPLETED	0	2025-09-03 03:10:00.670	59.7s	0ms	61.8%	1.5 MB	4.3 MB	128.1 KB	4.3 KB
33	3e/d9ac86	59905800	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr17_60001-448188)	COMPLETED	0	2025-09-03 03:10:01.297	59.1s	0ms	19.6%	2.2 MB	12.9 MB	127.2 KB	3.8 KB
31	65/43b6e6	59905801	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr5_139453660-155760324)	COMPLETED	0	2025-09-03 03:10:01.607	58.8s	0ms	46.1%	1.5 MB	4.3 MB	126.5 KB	3.7 KB
36	77/1cdf6d	59905802	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chrX_37285838-49348394)	COMPLETED	0	2025-09-03 03:10:01.905	58.5s	0ms	41.5%	1.5 MB	4.3 MB	126.6 KB	3.7 KB
34	3c/6dc39e	59905803	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr1_122026460-124977944)	COMPLETED	0	2025-09-03 03:10:02.200	58.2s	0ms	34.0%	2.5 MB	13.6 MB	126.5 KB	3.7 KB
35	15/0111f4	59905804	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr18_47019913-54536574)	COMPLETED	0	2025-09-03 03:10:02.498	57.9s	0ms	55.6%	1.5 MB	4.3 MB	127.2 KB	4 KB
17	2b/7eaf16	59905785	NFCORE_SAREK:SAREK:FASTQC (Sample1-Lane1)	COMPLETED	0	2025-09-03 03:08:24.836	3m 16s	2m 38s	196.8%	1.7 GB	7.1 GB	3.1 GB	3.9 MB
37	86/f5a454	59905805	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr1_10001-207666)	COMPLETED	0	2025-09-03 03:10:02.798	1m 58s	1s	44.9%	1.5 MB	4.3 MB	126.7 KB	3.5 KB
38	cd/be5aee	59905806	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr11_51078349-54425074)	COMPLETED	0	2025-09-03 03:11:00.665	59.7s	1s	41.9%	1.5 MB	4.3 MB	126.7 KB	3.7 KB
39	0c/be95f7	59905807	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr13_86252980-111703855)	COMPLETED	0	2025-09-03 03:11:00.962	59.4s	1s	46.1%	1.5 MB	4.3 MB	127 KB	3.8 KB
40	d2/1a2d11	59905808	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr9_41229379-41237752)	COMPLETED	0	2025-09-03 03:11:01.256	59.1s	1s	36.1%	1.5 MB	4.3 MB	127.7 KB	4 KB
41	94/5f1750	59905809	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chrY_9055175-9057608)	COMPLETED	0	2025-09-03 03:11:01.548	1m 4s	0ms	28.5%	2.2 MB	12.9 MB	127.4 KB	3.8 KB
