task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
11	c9/f56c2a	59892200	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_COMBINED (wgs_calling_regions_noseconds.hg38)	COMPLETED	0	2025-08-28 18:29:25.742	29.3s	0ms	30.3%	2.7 MB	13.6 MB	137.3 KB	12.1 KB
1	41/e3fbab	59892201	NFCORE_SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (wgs_calling_regions_noseconds.hg38.bed)	COMPLETED	0	2025-08-28 18:29:28.980	31.1s	1s	36.2%	1.3 MB	11 MB	72.4 KB	9.1 KB
17	c6/8a4752	59892199	NFCORE_SAREK:SAREK:FASTP (Sample1-Lane1)	COMPLETED	0	2025-08-28 18:29:18.256	1m 17s	37s	1010.4%	1.6 GB	2.5 GB	3.6 GB	3.2 GB
23	ba/4d6b6c	59892207	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr4_10001-1429358)	COMPLETED	0	2025-08-28 18:30:01.129	54s	0ms	53.8%	1.5 MB	4.3 MB	126.4 KB	3.7 KB
27	bc/11d83d	59892208	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr10_39590436-39593013)	COMPLETED	0	2025-08-28 18:30:01.433	53.7s	0ms	45.5%	1.5 MB	4.3 MB	126.5 KB	3.7 KB
28	e4/cbd103	59892209	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr8_44033745-45877265)	COMPLETED	0	2025-08-28 18:30:01.731	53.4s	0ms	45.8%	1.5 MB	4.3 MB	126.2 KB	3.6 KB
24	8b/c14158	59892210	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr12_37235253-37240944)	COMPLETED	0	2025-08-28 18:30:02.036	53.1s	0ms	54.9%	1.5 MB	4.3 MB	126.4 KB	3.7 KB
26	06/07fa9c	59892211	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr7_58169654-60828234)	COMPLETED	0	2025-08-28 18:30:02.343	52.8s	0ms	32.6%	1.5 MB	4.3 MB	126.6 KB	3.7 KB
21	b0/9f5556	59892205	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr2_16146120-32867130)	COMPLETED	0	2025-08-28 18:30:00.518	54.5s	0ms	60.3%	1.5 MB	4.3 MB	126.4 KB	3.7 KB
22	83/ecca3e	59892206	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr2_238904048-242183529)	COMPLETED	0	2025-08-28 18:30:00.818	54.2s	0ms	57.5%	1.5 MB	4.3 MB	126.4 KB	3.9 KB
25	b8/59c291	59892212	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr15_20729747-21193490)	COMPLETED	0	2025-08-28 18:30:02.653	52.5s	0ms	32.6%	1.5 MB	4.3 MB	126.9 KB	3.8 KB
29	74/a89131	59892213	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr20_36314720-64334167)	COMPLETED	0	2025-08-28 18:30:02.963	52.2s	0ms	45.8%	1.5 MB	4.3 MB	128.1 KB	4.3 KB
30	18/3e3575	59892214	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr4_190173122-190204555)	COMPLETED	0	2025-08-28 18:30:35.358	19.8s	0ms	37.0%	1.5 MB	4.3 MB	126.8 KB	3.9 KB
