task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
25	62/1aaf07	59895545	NFCORE_SAREK:SAREK:FASTP (Sample5-Lane1)	COMPLETED	0	2025-08-29 13:51:54.122	1m 31s	36s	999.4%	1.6 GB	2.6 GB	3.1 GB	2.8 GB
20	f4/16e2c5	59895537	NFCORE_SAREK:SAREK:FASTP (Sample2-Lane1)	COMPLETED	0	2025-08-29 13:51:51.663	1m 34s	33s	994.4%	1.7 GB	2.7 GB	3 GB	2.8 GB
24	18/e51073	59895543	NFCORE_SAREK:SAREK:FASTP (Sample4-Lane1)	COMPLETED	0	2025-08-29 13:51:53.506	1m 42s	42s	978.0%	1.7 GB	2.6 GB	4.5 GB	3.6 GB
21	92/36c2ca	59895541	NFCORE_SAREK:SAREK:FASTP (Sample3-Lane1)	COMPLETED	0	2025-08-29 13:51:52.899	1m 48s	48s	948.3%	2 GB	3 GB	3.4 GB	3.2 GB
2	d6/03bdce	59895553	NFCORE_SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (wgs_calling_regions_noseconds.hg38.bed)	COMPLETED	0	2025-08-29 13:53:25.882	24.7s	0ms	43.4%	2.5 MB	88.8 MB	72.4 KB	9.1 KB
5	4b/b43abc	59895554	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_COMBINED (wgs_calling_regions_noseconds.hg38)	COMPLETED	0	2025-08-29 13:53:26.219	24.3s	1s	22.5%	2.7 MB	13.6 MB	137.3 KB	12.1 KB
18	a0/d73080	59895540	NFCORE_SAREK:SAREK:FASTP (Sample1-Lane1)	COMPLETED	0	2025-08-29 13:51:52.587	2m 3s	1m 1s	988.4%	1.6 GB	2.5 GB	3.6 GB	3.2 GB
69	78/13ad3d	59895557	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr15_20729747-21193490)	COMPLETED	0	2025-08-29 13:53:51.612	1m	0ms	74.1%	1.5 MB	4.3 MB	126.7 KB	3.8 KB
68	a2/b4a01b	59895558	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr12_37235253-37240944)	COMPLETED	0	2025-08-29 13:53:51.914	1m	0ms	69.0%	1.5 MB	4.3 MB	126.4 KB	3.7 KB
66	34/6da990	59895559	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr2_238904048-242183529)	COMPLETED	0	2025-08-29 13:53:55.846	57.3s	0ms	90.7%	1.5 MB	4.3 MB	126.4 KB	3.9 KB
